wave,date,weekday,1,2,3,4,5,6,jackpot_number_of_prize,jackpot_value_of_prize,first_number_of_prize,first_value_of_prize,second_number_of_prize,second_value_of_prize,third_number_of_prize,third_value_of_prize
#00894,2022-05-29,sunday,2,6,19,24,30,42,0,14256983000,21,10000000,1003,300000,13916,30000
#00893,2022-05-27,friday,16,21,23,27,35,41,0,13079045500,25,10000000,784,300000,12281,30000
#00892,2022-05-25,wednesday,19,26,27,39,44,45,1,37336878000,28,10000000,1266,300000,21478,30000
#00891,2022-05-22,sunday,1,7,10,24,33,40,0,33635682500,29,10000000,1168,300000,18995,30000
#00890,2022-05-20,friday,12,17,34,39,44,45,0,30055438000,24,10000000,1065,300000,18205,30000
#00889,2022-05-18,wednesday,3,17,23,37,40,42,0,26804142000,27,10000000,1295,300000,19331,30000
#00888,2022-05-15,sunday,5,20,21,31,34,37,0,24169204000,19,10000000,984,300000,17246,30000
#00887,2022-05-13,friday,7,8,18,29,41,44,0,22293891500,25,10000000,969,300000,16983,30000
#00886,2022-05-11,wednesday,2,6,7,18,34,41,0,20622299500,30,10000000,1025,300000,17700,30000
#00885,2022-05-08,sunday,4,12,20,25,35,37,0,19023068000,17,10000000,994,300000,16140,30000
#00884,2022-05-06,friday,1,3,15,16,34,43,0,17465051000,17,10000000,876,300000,14878,30000
#00883,2022-05-04,wednesday,1,4,23,28,33,38,0,15915138500,17,10000000,874,300000,14422,30000
#00882,2022-05-01,sunday,8,21,26,35,37,42,0,14476477000,18,10000000,791,300000,12766,30000
#00881,2022-04-29,friday,5,12,16,25,26,32,0,13161021000,24,10000000,885,300000,13925,30000
#00880,2022-04-27,wednesday,3,9,14,17,27,32,1,36546933000,26,10000000,1540,300000,23355,30000
#00879,2022-04-24,sunday,9,12,23,30,32,40,0,32384289000,21,10000000,1274,300000,21604,30000
#00878,2022-04-22,friday,11,13,15,18,24,36,0,28476669500,17,10000000,1157,300000,19603,30000
#00877,2022-04-20,wednesday,1,8,17,21,27,37,0,26148270500,27,10000000,1180,300000,19371,30000
#00876,2022-04-17,sunday,5,13,15,28,38,40,0,24256968000,24,10000000,1198,300000,18932,30000
#00875,2022-04-15,friday,9,18,21,25,35,44,0,22501089500,20,10000000,1186,300000,18953,30000
#00874,2022-04-13,wednesday,1,7,20,25,40,41,0,20906620000,13,10000000,978,300000,16552,30000
#00873,2022-04-10,sunday,4,17,28,30,38,42,0,19102705000,22,10000000,1010,300000,16188,30000
#00872,2022-04-08,friday,2,13,16,19,20,36,0,17611855000,16,10000000,879,300000,14420,30000
#00871,2022-04-06,wednesday,13,17,19,25,32,45,0,16086020000,12,10000000,843,300000,14973,30000
#00870,2022-04-03,sunday,5,11,20,26,40,43,0,14573466500,18,10000000,836,300000,14127,30000
#00869,2022-04-01,friday,2,19,25,32,41,44,0,13219566000,18,10000000,771,300000,12527,30000
#00868,2022-03-30,wednesday,1,12,26,28,39,45,1,22422244500,32,10000000,1035,300000,17596,30000
#00867,2022-03-27,sunday,8,17,21,39,44,45,0,20912630500,23,10000000,1148,300000,17596,30000
#00866,2022-03-25,friday,1,12,13,27,29,35,0,19431284000,15,10000000,835,300000,14115,30000
#00865,2022-03-23,wednesday,2,9,37,38,40,43,0,17867079000,6,10000000,777,300000,14324,30000
#00864,2022-03-20,sunday,1,9,10,12,22,44,0,16182991000,24,10000000,1084,300000,16380,30000
#00863,2022-03-18,friday,6,10,15,29,41,42,0,14843907500,10,10000000,810,300000,13685,30000
#00862,2022-03-16,wednesday,10,11,14,24,31,45,0,13414721000,10,10000000,833,300000,14064,30000
#00861,2022-03-13,sunday,1,5,19,20,23,38,1,36253032000,16,10000000,1251,300000,20889,30000
#00860,2022-03-11,friday,6,20,23,29,34,45,0,32340443500,31,10000000,1096,300000,19395,30000
#00859,2022-03-09,wednesday,3,15,35,39,40,43,0,28814538500,21,10000000,1186,300000,20727,30000
#00858,2022-03-06,sunday,11,16,21,33,34,42,0,25072243500,15,10000000,1001,300000,18002,30000
#00857,2022-03-04,friday,3,19,21,24,27,38,0,23151086500,24,10000000,1104,300000,18734,30000
#00856,2022-03-02,wednesday,7,10,13,20,21,34,0,21457475500,16,10000000,957,300000,16922,30000
#00855,2022-02-27,thursday,10,20,25,27,38,45,0,19617776000,25,10000000,1024,300000,17110,30000
#00854,2022-02-25,tuesday,10,13,30,33,39,41,0,18128463500,24,10000000,888,300000,15187,30000
#00853,2022-02-23,sunday,2,16,18,19,24,29,0,16542911000,23,10000000,919,300000,16582,30000
#00852,2022-02-20,thursday,4,6,16,30,43,44,0,14939869500,15,10000000,886,300000,15115,30000
#00851,2022-02-18,tuesday,3,14,20,26,28,36,0,13446070000,17,10000000,897,300000,14896,30000
#00850,2022-02-16,sunday,2,5,8,16,22,42,1,43057471000,31,10000000,1816,300000,27072,30000
#00849,2022-02-13,thursday,14,21,22,24,28,45,0,38734645000,21,10000000,1217,300000,21289,30000
#00848,2022-02-11,tuesday,10,11,19,38,41,44,0,36100164000,37,10000000,1560,300000,25526,30000
#00847,2022-02-09,sunday,3,20,27,37,44,45,0,34007667500,29,10000000,1522,300000,24573,30000
#00846,2022-02-06,thursday,5,9,21,24,34,39,0,31614479500,25,10000000,1441,300000,22377,30000
#00845,2022-02-04,tuesday,11,16,18,38,40,43,0,29607165500,16,10000000,1046,300000,18580,30000
#00844,2022-02-02,sunday,5,6,14,20,31,38,0,27709922500,22,10000000,1056,300000,18957,30000
#00843,2022-01-30,friday,1,7,22,26,28,41,0,25769631000,29,10000000,1354,300000,21686,30000
#00842,2022-01-28,wednesday,4,6,12,26,27,39,0,23684465000,28,10000000,1502,300000,22442,30000
#00841,2022-01-26,monday,5,11,15,18,27,43,0,21964946000,32,10000000,1410,300000,21684,30000
#00840,2022-01-23,friday,13,20,24,32,34,40,0,20275298500,27,10000000,970,300000,16340,30000
#00839,2022-01-21,wednesday,1,13,17,24,27,42,0,18432653000,25,10000000,969,300000,16200,30000
#00838,2022-01-19,monday,14,21,25,34,37,39,0,16793959500,13,10000000,1021,300000,16442,30000
#00837,2022-01-16,friday,1,3,4,5,32,33,0,15005629500,15,10000000,971,300000,15122,30000
#00836,2022-01-14,wednesday,5,14,27,30,38,45,0,13303467000,29,10000000,1069,300000,16417,30000
#00835,2022-01-12,monday,3,6,13,15,36,44,1,23657658500,46,10000000,1362,300000,21287,30000
#00834,2022-01-09,friday,6,7,11,22,35,41,0,21975994000,31,10000000,1397,300000,21832,30000
#00833,2022-01-07,wednesday,10,13,24,28,38,44,0,20272931500,28,10000000,1063,300000,18275,30000
#00832,2022-01-05,monday,1,3,8,9,35,40,0,18547498500,20,10000000,969,300000,17593,30000
#00831,2022-01-02,friday,11,17,30,36,41,45,0,16699523500,23,10000000,1003,300000,16498,30000
#00830,2021-12-31,friday,2,5,12,33,41,45,0,15087497500,21,10000000,964,300000,15941,30000
#00829,2021-12-29,wednesday,5,27,33,34,38,40,0,13578555500,13,10000000,787,300000,14436,30000
#00828,2021-12-26,sunday,4,11,16,24,35,44,1,16762864500,23,10000000,1166,300000,18758,30000
#00827,2021-12-24,friday,3,17,25,26,36,38,0,15138833000,16,10000000,928,300000,16116,30000
#00826,2021-12-22,wednesday,8,16,17,23,28,38,0,13485049000,19,10000000,1053,300000,17156,30000
#00825,2021-12-19,sunday,12,15,24,30,36,45,1,20636521000,31,10000000,1213,300000,19203,30000
#00824,2021-12-17,friday,8,15,16,21,25,33,0,18887000500,23,10000000,1044,300000,17892,30000
#00823,2021-12-15,wednesday,3,18,29,30,39,41,0,17097562500,13,10000000,1071,300000,17477,30000
#00822,2021-12-12,sunday,16,21,29,40,41,43,0,15281516500,17,10000000,965,300000,16237,30000
#00821,2021-12-10,friday,1,4,17,19,24,42,0,13578476000,13,10000000,928,300000,15479,30000
#00820,2021-12-08,wednesday,2,3,16,19,22,34,1,98295409000,53,10000000,2046,300000,35683,30000
#00819,2021-12-05,sunday,3,5,6,31,34,35,0,90627189000,41,10000000,1988,300000,35904,30000
#00818,2021-12-03,friday,10,14,29,37,38,40,0,83634807000,23,10000000,1568,300000,29952,30000
#00817,2021-12-01,wednesday,8,9,30,31,38,45,0,77215625000,38,10000000,1789,300000,31669,30000
#00816,2021-11-28,sunday,13,17,26,27,31,37,0,71075874500,49,10000000,2297,300000,35169,30000
#00815,2021-11-26,friday,4,18,25,29,32,34,0,65028430500,34,10000000,1471,300000,26760,30000
#00814,2021-11-24,wednesday,2,10,18,23,34,36,0,59369630000,39,10000000,1705,300000,28085,30000
#00813,2021-11-21,sunday,1,12,29,40,44,45,0,53981901500,34,10000000,1701,300000,27481,30000
#00812,2021-11-19,friday,9,10,26,28,39,43,0,49093217500,43,10000000,1622,300000,26009,30000
#00811,2021-11-17,wednesday,4,15,25,26,32,35,0,44760096500,19,10000000,1474,300000,23654,30000
#00810,2021-11-14,sunday,3,5,18,28,42,43,0,40056685000,32,10000000,1282,300000,21647,30000
#00809,2021-11-12,friday,11,14,18,24,35,37,0,35913676000,26,10000000,1182,300000,19640,30000
#00808,2021-11-10,wednesday,17,18,19,20,27,44,0,32121468500,30,10000000,1174,300000,19574,30000
#00807,2021-11-07,sunday,5,20,24,25,35,36,0,28473605000,16,10000000,1030,300000,17718,30000
#00806,2021-11-05,friday,10,16,36,40,41,42,0,24823862000,27,10000000,1125,300000,16896,30000
#00805,2021-11-03,wednesday,3,13,15,23,24,44,0,23137555500,18,10000000,947,300000,16944,30000
#00804,2021-10-31,sunday,9,14,17,18,36,41,0,21433245500,16,10000000,1072,300000,16772,30000
#00803,2021-10-29,friday,17,19,22,31,32,34,0,19914830000,13,10000000,834,300000,13340,30000
#00802,2021-10-27,wednesday,13,17,26,29,33,39,0,18378377000,29,10000000,913,300000,15036,30000
#00801,2021-10-24,sunday,6,29,31,32,39,44,0,17106173500,24,10000000,782,300000,13841,30000
#00800,2021-10-22,friday,3,5,6,9,28,43,0,15801269000,11,10000000,773,300000,14206,30000
#00799,2021-10-20,wednesday,5,9,33,40,41,45,0,14504128500,14,10000000,828,300000,13446,30000
#00798,2021-10-17,sunday,4,12,21,22,27,40,0,13176319000,25,10000000,793,300000,13242,30000
#00797,2021-10-15,friday,5,13,17,20,29,45,1,30980331000,18,10000000,1195,300000,17257,30000
#00796,2021-10-13,wednesday,20,34,37,39,41,42,0,27804912500,14,10000000,822,300000,15428,30000
#00795,2021-10-10,sunday,3,25,26,29,40,42,0,24429731000,24,10000000,939,300000,15257,30000
#00794,2021-10-08,friday,4,13,18,23,33,43,0,22803507000,36,10000000,1187,300000,15500,30000
#00793,2021-10-06,wednesday,9,11,15,20,32,36,0,21685002000,12,10000000,967,300000,14737,30000
#00792,2021-10-03,sunday,6,12,28,30,39,42,0,20403874500,6,10000000,709,300000,12096,30000
#00791,2021-10-01,friday,11,15,17,27,28,45,0,19241396000,18,10000000,701,300000,11189,30000
#00790,2021-09-29,wednesday,6,15,16,27,36,42,0,18375874000,16,10000000,799,300000,12748,30000
#00789,2021-09-26,sunday,13,27,34,35,36,41,0,17252470500,12,10000000,704,300000,10302,30000
#00788,2021-09-24,friday,1,4,7,14,16,41,0,16086062000,18,10000000,635,300000,9897,30000
#00787,2021-09-22,wednesday,5,10,19,22,36,45,0,15141186500,26,10000000,918,300000,12187,30000
#00786,2021-09-19,sunday,6,24,28,31,36,43,0,14451502500,7,10000000,548,300000,9519,30000
#00785,2021-09-17,friday,6,10,15,37,39,44,0,13530158500,7,10000000,577,300000,8982,30000
#00784,2021-09-15,wednesday,11,14,17,24,29,35,0,12731541500,13,10000000,483,300000,7669,30000
#00783,2021-09-12,sunday,4,8,21,29,33,45,2,14139591250,23,10000000,750,300000,11647,30000
#00782,2021-09-10,friday,10,16,22,36,43,44,0,26526202500,13,10000000,480,300000,9179,30000
#00781,2021-09-08,wednesday,4,18,28,32,36,40,0,24753445000,11,10000000,560,300000,9398,30000
#00780,2021-09-05,sunday,15,18,25,27,29,34,0,23703678500,10,10000000,448,300000,7674,30000
#00779,2021-09-03,friday,6,11,18,23,32,44,0,22852645000,11,10000000,589,300000,8794,30000
#00778,2021-09-01,wednesday,6,13,33,34,40,45,0,22155215500,9,10000000,446,300000,8169,30000
#00777,2021-08-29,sunday,1,18,21,25,27,35,0,21293308500,4,10000000,409,300000,6986,30000
#00776,2021-08-27,friday,4,10,11,15,24,37,0,20426007500,11,10000000,516,300000,8176,30000
#00775,2021-08-25,wednesday,1,3,5,17,22,33,0,19773149500,12,10000000,463,300000,7924,30000
#00774,2021-08-22,sunday,6,7,18,25,40,43,0,19055917000,11,10000000,406,300000,6837,30000
#00773,2021-08-20,friday,4,8,17,27,32,36,0,18472892000,3,10000000,362,300000,5695,30000
#00772,2021-08-18,wednesday,10,16,19,27,28,36,0,17869440500,19,10000000,653,300000,9973,30000
#00771,2021-07-23,friday,19,26,31,33,41,42,0,17106759000,17,10000000,609,300000,9659,30000
#00770,2021-07-21,wednesday,8,10,12,29,34,37,0,16087964500,15,10000000,652,300000,10877,30000
#00769,2021-07-18,sunday,3,8,19,21,25,36,0,15017833500,19,10000000,844,300000,13262,30000
#00768,2021-07-16,friday,1,9,18,26,41,45,0,13992056500,23,10000000,831,300000,12090,30000
#00767,2021-07-14,wednesday,4,11,22,29,37,43,0,13052822500,15,10000000,793,300000,11732,30000
#00766,2021-07-11,sunday,2,8,15,17,19,30,1,35050968000,14,10000000,1049,300000,17162,30000
#00765,2021-07-09,friday,4,9,17,18,28,32,0,32309994000,23,10000000,1136,300000,18237,30000
#00764,2021-07-07,wednesday,1,6,13,30,34,43,0,30668735000,15,10000000,929,300000,17106,30000
#00763,2021-07-04,sunday,3,14,15,21,26,37,0,28743212000,32,10000000,972,300000,16393,30000
#00762,2021-07-02,friday,1,14,15,18,32,45,0,27110872500,13,10000000,937,300000,15812,30000
#00761,2021-06-30,wednesday,2,5,6,8,10,32,0,25400284500,13,10000000,1040,300000,16658,30000
#00760,2021-06-27,sunday,5,10,29,37,42,44,0,23704232000,27,10000000,977,300000,16751,30000
#00759,2021-06-25,friday,3,5,6,23,24,39,0,22185507500,10,10000000,942,300000,16641,30000
#00758,2021-06-23,wednesday,4,7,20,28,33,41,0,20526628000,13,10000000,910,300000,15594,30000
#00757,2021-06-20,sunday,10,24,27,42,43,45,0,18982427000,23,10000000,802,300000,14467,30000
#00756,2021-06-18,friday,10,11,28,29,40,42,0,17563534000,20,10000000,765,300000,13592,30000
#00755,2021-06-16,wednesday,11,19,24,28,31,39,0,16164413000,16,10000000,969,300000,15590,30000
#00754,2021-06-13,sunday,3,10,12,13,36,44,0,14815632000,11,10000000,803,300000,14088,30000
#00753,2021-06-11,friday,8,12,13,14,32,40,0,13438632000,5,10000000,685,300000,12408,30000
#00752,2021-06-09,wednesday,2,7,18,20,24,36,1,29292855500,22,10000000,1216,300000,18521,30000
#00751,2021-06-06,sunday,5,7,10,13,14,42,0,27467427500,24,10000000,1027,300000,17741,30000
#00750,2021-06-04,friday,19,24,31,32,35,36,0,25695873500,17,10000000,940,300000,15583,30000
#00749,2021-06-02,wednesday,10,20,22,26,31,42,0,23915617500,17,10000000,925,300000,15753,30000
#00748,2021-05-30,sunday,7,10,19,30,40,45,0,22221494500,32,10000000,1201,300000,18144,30000
#00747,2021-05-28,friday,2,15,33,41,44,45,0,20863349000,19,10000000,791,300000,14647,30000
#00746,2021-05-26,wednesday,1,10,22,36,38,45,0,19252692500,21,10000000,868,300000,15480,30000
#00745,2021-05-23,sunday,11,14,22,26,29,44,0,17658371500,15,10000000,912,300000,15456,30000
#00744,2021-05-21,friday,4,28,37,38,40,42,0,16169239000,15,10000000,762,300000,13749,30000
#00743,2021-05-19,wednesday,3,12,23,29,33,34,0,14639616500,14,10000000,917,300000,14619,30000
#00742,2021-05-16,sunday,13,23,33,37,40,43,0,13202141000,25,10000000,846,300000,12520,30000
#00741,2021-05-14,friday,3,11,16,20,24,30,1,13242112000,21,10000000,889,300000,14264,30000
#00740,2021-05-12,wednesday,9,15,22,27,34,42,1,70068418000,65,10000000,2160,300000,34812,30000
#00739,2021-05-09,sunday,1,7,16,24,27,37,0,63700477500,48,10000000,1806,300000,30099,30000
#00738,2021-05-07,friday,10,20,21,27,33,34,0,58038778500,27,10000000,1433,300000,27001,30000
#00737,2021-05-05,wednesday,3,14,20,22,37,44,0,52338709000,29,10000000,1440,300000,24095,30000
#00736,2021-05-02,sunday,7,8,30,35,40,44,0,47209898500,12,10000000,1302,300000,21957,30000
#00735,2021-04-30,friday,3,4,20,21,36,41,0,42764126500,12,10000000,1343,300000,20306,30000
#00734,2021-04-28,wednesday,21,39,40,41,43,45,0,38903466000,27,10000000,1113,300000,18245,30000
#00733,2021-04-25,sunday,8,19,21,28,32,44,0,34931499000,31,10000000,1216,300000,20201,30000
#00732,2021-04-23,friday,13,16,18,22,34,39,0,31264325500,30,10000000,1068,300000,18189,30000
#00731,2021-04-21,wednesday,3,12,19,27,32,35,0,27861050500,22,10000000,1554,300000,20118,30000
#00730,2021-04-18,sunday,7,9,15,23,26,27,0,26021983000,34,10000000,1272,300000,20410,30000
#00729,2021-04-16,friday,8,9,11,28,30,39,0,24454960500,30,10000000,1379,300000,20617,30000
#00728,2021-04-14,wednesday,11,12,16,18,33,35,0,22996078000,24,10000000,986,300000,18525,30000
#00727,2021-04-11,sunday,3,23,27,32,34,39,0,21251858000,14,10000000,986,300000,16260,30000
#00726,2021-04-09,friday,3,4,8,17,19,37,0,19524873000,28,10000000,1147,300000,17684,30000
#00725,2021-04-07,wednesday,13,15,19,25,33,34,0,18118581500,25,10000000,1131,300000,16570,30000
#00724,2021-04-04,sunday,5,20,27,30,38,43,0,16652715000,17,10000000,793,300000,14560,30000
#00723,2021-04-02,friday,1,5,9,16,42,44,0,15060673000,16,10000000,806,300000,15158,30000
#00722,2021-03-31,wednesday,2,4,6,36,41,42,0,13536495500,13,10000000,752,300000,13976,30000
#00721,2021-03-28,sunday,23,26,40,41,43,44,1,23503378500,15,10000000,988,300000,16971,30000
#00720,2021-03-26,friday,2,11,15,18,23,42,0,21504845500,19,10000000,1119,300000,19008,30000
#00719,2021-03-24,wednesday,7,14,23,26,37,39,0,19644598000,22,10000000,1259,300000,19896,30000
#00718,2021-03-21,sunday,8,9,11,31,36,39,0,17995687000,16,10000000,1069,300000,17102,30000
#00717,2021-03-19,friday,5,6,24,34,36,37,0,16456035000,13,10000000,848,300000,14548,30000
#00716,2021-03-17,wednesday,6,11,26,28,36,41,0,14817761000,21,10000000,1012,300000,15895,30000
#00715,2021-03-14,sunday,1,9,11,32,34,42,0,13364217000,24,10000000,900,300000,14636,30000
#00714,2021-03-12,friday,5,11,17,34,38,42,1,40180868000,21,10000000,1424,300000,22761,30000
#00713,2021-03-10,wednesday,5,14,15,19,25,33,0,37799084500,28,10000000,1488,300000,25107,30000
#00712,2021-03-07,sunday,4,12,25,28,33,45,0,35534020000,23,10000000,1422,300000,22546,30000
#00711,2021-03-05,friday,9,11,13,21,27,41,0,33427077500,30,10000000,1533,300000,23867,30000
#00710,2021-03-03,wednesday,1,20,28,37,40,44,0,31633445000,20,10000000,1114,300000,19595,30000
#00709,2021-02-28,thursday,4,5,25,28,29,42,0,29467504000,24,10000000,1207,300000,20080,30000
#00708,2021-02-26,tuesday,11,13,19,27,37,41,0,27697196500,22,10000000,1183,300000,20043,30000
#00707,2021-02-24,sunday,2,13,19,33,40,43,0,25868493000,20,10000000,1096,300000,18585,30000
#00706,2021-02-21,thursday,6,7,22,24,27,37,0,23887950500,24,10000000,1269,300000,21651,30000
#00705,2021-02-19,tuesday,12,19,22,23,34,44,0,21767678000,27,10000000,1167,300000,19417,30000
#00704,2021-02-17,sunday,3,18,21,22,36,44,0,20047161500,22,10000000,1347,300000,19360,30000
#00703,2021-02-14,thursday,3,13,18,21,39,44,0,18057569500,23,10000000,973,300000,15597,30000
#00702,2021-02-10,sunday,8,13,18,19,21,24,0,16640737500,18,10000000,987,300000,17184,30000
#00701,2021-02-07,thursday,1,4,7,15,41,42,0,14949740500,20,10000000,877,300000,15583,30000
#00700,2021-02-05,tuesday,2,8,31,32,42,44,0,13433505000,12,10000000,851,300000,13154,30000
#00699,2021-02-03,sunday,7,9,14,23,35,41,1,24820198500,37,10000000,1426,300000,21022,30000
#00698,2021-01-31,friday,4,6,7,11,34,41,0,23187996000,21,10000000,1007,300000,17520,30000
#00697,2021-01-29,wednesday,6,7,8,29,35,39,0,21357120500,20,10000000,1054,300000,18157,30000
#00696,2021-01-27,monday,1,7,11,28,41,44,0,19736887000,14,10000000,1155,300000,18049,30000
#00695,2021-01-24,friday,8,9,23,25,31,32,0,17985612000,19,10000000,987,300000,16863,30000
#00694,2021-01-22,wednesday,1,6,7,20,28,43,0,16469103000,12,10000000,912,300000,15377,30000
#00693,2021-01-20,monday,7,20,29,30,40,45,0,14904372000,19,10000000,996,300000,15230,30000
#00692,2021-01-17,friday,4,5,32,39,40,42,0,13432888000,13,10000000,738,300000,13229,30000
#00691,2021-01-15,wednesday,4,6,10,13,26,43,1,13284139000,20,10000000,891,300000,13949,30000
#00690,2021-01-13,monday,19,20,21,28,33,41,1,19778012000,17,10000000,929,300000,16505,30000
#00689,2021-01-10,friday,10,11,22,32,38,43,0,18016946500,19,10000000,983,300000,16356,30000
#00688,2021-01-08,wednesday,8,19,22,25,32,35,0,16509836500,17,10000000,868,300000,15534,30000
#00687,2021-01-06,monday,22,27,30,35,40,45,0,15043389000,26,10000000,866,300000,14412,30000
#00686,2021-01-03,friday,4,31,34,36,40,43,0,13599620500,12,10000000,869,300000,13666,30000
#00685,2021-01-01,wednesday,10,16,24,26,30,32,1,100379870000,123,10000000,3167,300000,44092,30000
#00684,2020-12-30,wednesday,1,13,20,26,35,37,0,93092703500,54,10000000,2536,300000,41976,30000
#00683,2020-12-27,sunday,3,11,17,19,34,39,0,85542628500,39,10000000,2167,300000,34272,30000
#00682,2020-12-25,friday,6,12,15,22,33,39,0,79257983500,47,10000000,2089,300000,34899,30000
#00681,2020-12-23,wednesday,7,11,17,31,35,40,0,73587193000,27,10000000,1647,300000,29666,30000
#00680,2020-12-20,sunday,15,18,28,30,34,44,0,67862170500,39,10000000,1876,300000,27842,30000
#00679,2020-12-18,friday,4,9,14,23,32,38,0,62918148000,35,10000000,1878,300000,28033,30000
#00678,2020-12-16,wednesday,10,11,22,27,36,41,0,58449750000,35,10000000,1359,300000,22947,30000
#00677,2020-12-13,sunday,10,12,20,36,41,44,0,53778716000,24,10000000,1297,300000,22820,30000
#00676,2020-12-11,friday,23,24,25,35,37,39,0,49475568500,19,10000000,1116,300000,21033,30000
#00675,2020-12-09,wednesday,16,24,27,31,36,43,0,45377214000,22,10000000,1134,300000,19419,30000
#00674,2020-12-06,sunday,11,21,24,27,29,37,0,41344297000,19,10000000,1081,300000,18516,30000
#00673,2020-12-04,friday,3,5,33,37,41,43,0,37621514500,18,10000000,1050,300000,16889,30000
#00672,2020-12-02,wednesday,4,5,7,10,25,39,0,34216388000,23,10000000,1134,300000,19468,30000
#00671,2020-11-29,sunday,6,7,14,18,37,43,0,32487853000,23,10000000,1023,300000,17211,30000
#00670,2020-11-27,friday,1,9,12,13,37,43,0,30862326500,23,10000000,954,300000,16447,30000
#00669,2020-11-25,wednesday,1,5,7,8,25,40,0,29360095000,8,10000000,1024,300000,17586,30000
#00668,2020-11-22,sunday,9,16,17,24,32,40,0,27655191500,21,10000000,947,300000,15255,30000
#00667,2020-11-20,friday,2,17,24,29,31,37,0,26126425000,20,10000000,835,300000,13742,30000
#00666,2020-11-18,wednesday,18,19,21,31,39,44,0,24618929000,23,10000000,1015,300000,16202,30000
#00665,2020-11-15,sunday,14,16,21,29,40,41,0,23148689500,16,10000000,843,300000,14669,30000
#00664,2020-11-13,friday,8,22,23,33,34,36,0,21632894500,16,10000000,810,300000,13540,30000
#00663,2020-11-11,wednesday,4,10,12,17,20,35,0,20122882500,9,10000000,951,300000,15281,30000
#00662,2020-11-08,sunday,3,12,14,16,23,33,0,18724109500,20,10000000,930,300000,14733,30000
#00661,2020-11-06,friday,19,24,30,32,36,37,0,17496992000,12,10000000,754,300000,12378,30000
#00660,2020-11-04,wednesday,3,8,11,13,26,38,0,16175474000,33,10000000,1024,300000,14564,30000
#00659,2020-11-01,sunday,6,21,27,30,32,44,0,15227119000,19,10000000,684,300000,11520,30000
#00658,2020-10-30,friday,4,5,14,18,23,43,0,14044809000,12,10000000,790,300000,12456,30000
#00657,2020-10-28,wednesday,1,4,7,15,35,45,0,13017582500,13,10000000,686,300000,11869,30000
#00656,2020-10-25,sunday,11,19,30,38,41,45,1,15469693500,12,10000000,747,300000,12376,30000
#00655,2020-10-23,friday,5,10,16,23,34,45,0,14262597000,16,10000000,757,300000,12730,30000
#00654,2020-10-21,wednesday,4,11,26,36,38,41,0,13214173000,9,10000000,622,300000,10869,30000
#00653,2020-10-18,sunday,1,14,25,26,30,40,1,24736948000,16,10000000,818,300000,13629,30000
#00652,2020-10-16,friday,4,14,16,23,24,27,0,23175596500,13,10000000,804,300000,14389,30000
#00651,2020-10-14,wednesday,4,7,23,32,43,44,0,21714617500,30,10000000,955,300000,14802,30000
#00650,2020-10-11,sunday,12,18,28,31,40,45,0,20556242500,23,10000000,816,300000,14200,30000
#00649,2020-10-09,friday,15,19,23,30,33,39,0,19233191500,16,10000000,702,300000,13083,30000
#00648,2020-10-07,wednesday,13,15,25,26,28,34,0,17933889000,8,10000000,741,300000,12384,30000
#00647,2020-10-04,sunday,9,16,19,25,26,39,0,16586431000,21,10000000,903,300000,14560,30000
#00646,2020-10-02,friday,9,11,21,31,32,37,0,15499943500,10,10000000,629,300000,11077,30000
#00645,2020-09-30,wednesday,2,5,31,32,42,44,0,14253385000,15,10000000,690,300000,11080,30000
#00644,2020-09-27,sunday,1,12,26,31,37,38,0,13062466000,18,10000000,783,300000,11192,30000
#00643,2020-09-25,friday,14,20,22,35,44,45,1,39137122000,14,10000000,1091,300000,18180,30000
#00642,2020-09-23,wednesday,2,8,17,23,30,41,0,35907292500,27,10000000,1057,300000,17060,30000
#00641,2020-09-20,sunday,5,7,9,13,15,16,0,32667127000,39,10000000,1361,300000,18706,30000
#00640,2020-09-18,friday,10,19,21,23,27,33,0,31378564000,20,10000000,872,300000,15537,30000
#00639,2020-09-16,wednesday,5,20,29,30,38,40,0,29847296500,27,10000000,976,300000,16185,30000
#00638,2020-09-13,sunday,20,23,28,37,40,44,0,28258554000,10,10000000,854,300000,15135,30000
#00637,2020-09-11,friday,4,11,13,16,17,33,0,26560368000,18,10000000,878,300000,15083,30000
#00636,2020-09-09,wednesday,19,21,34,35,36,39,0,25062356000,16,10000000,867,300000,14630,30000
#00635,2020-09-06,sunday,1,6,19,29,31,44,0,23500560000,14,10000000,944,300000,15463,30000
#00634,2020-09-04,friday,7,16,20,30,40,41,0,22097628000,12,10000000,756,300000,13166,30000
#00633,2020-09-02,wednesday,8,10,14,16,18,24,0,20638279000,11,10000000,920,300000,13588,30000
#00632,2020-08-30,sunday,6,8,18,19,29,33,0,19318430000,15,10000000,912,300000,14327,30000
#00631,2020-08-28,friday,10,11,14,23,27,37,0,18106010500,14,10000000,670,300000,11789,30000
#00630,2020-08-26,wednesday,2,18,24,28,35,42,0,16963660000,17,10000000,873,300000,14051,30000
#00629,2020-08-23,sunday,10,14,19,25,36,39,0,15667908000,20,10000000,834,300000,13792,30000
#00628,2020-08-21,friday,7,8,26,30,37,43,0,14448262000,15,10000000,736,300000,12283,30000
#00627,2020-08-19,wednesday,7,20,36,37,43,45,0,13211329500,16,10000000,682,300000,12466,30000
#00626,2020-08-16,sunday,2,5,6,20,33,39,1,17198203500,7,10000000,729,300000,13507,30000
#00625,2020-08-14,friday,9,18,21,24,34,41,0,15762353000,13,10000000,738,300000,12530,30000
